Would you like to Invest money into new facilities or Safety and security considerations? (R1,C1) 
Would you like to Invest money into new facilities or Operational impact assessment? (R1,C2) 
Would you like to Invest money into new facilities or Cost of maintenance and repairs? (R1,C3) 
Would you like to Invest money into new facilities or Partnership or joint facility opportunities? (R1,C4) 
Would you like to Invest money into new facilities or Long-term mission requirements? (R1,C5) 
Would you like to Invest money into new facilities or Economic analysis of potential savings? (R1,C6) 
Would you like to Save money by using current facilities or Safety and security considerations? (R2,C1) 
Would you like to Save money by using current facilities or Operational impact assessment? (R2,C2) 
Would you like to Save money by using current facilities or Cost of maintenance and repairs? (R2,C3) 
Would you like to Save money by using current facilities or Partnership or joint facility opportunities? (R2,C4) 
Would you like to Save money by using current facilities or Long-term mission requirements? (R2,C5) 
Would you like to Save money by using current facilities or Economic analysis of potential savings? (R2,C6) 
Would you like to Phased approach to upgrades or Safety and security considerations? (R3,C1) 
Would you like to Phased approach to upgrades or Operational impact assessment? (R3,C2) 
Would you like to Phased approach to upgrades or Cost of maintenance and repairs? (R3,C3) 
Would you like to Phased approach to upgrades or Partnership or joint facility opportunities? (R3,C4) 
Would you like to Phased approach to upgrades or Long-term mission requirements? (R3,C5) 
Would you like to Phased approach to upgrades or Economic analysis of potential savings? (R3,C6) 
Would you like to Strategic asset allocation or Safety and security considerations? (R4,C1) 
Would you like to Strategic asset allocation or Operational impact assessment? (R4,C2) 
Would you like to Strategic asset allocation or Cost of maintenance and repairs? (R4,C3) 
Would you like to Strategic asset allocation or Partnership or joint facility opportunities? (R4,C4) 
Would you like to Strategic asset allocation or Long-term mission requirements? (R4,C5) 
Would you like to Strategic asset allocation or Economic analysis of potential savings? (R4,C6) 
Would you like to Future expansion and flexibility or Safety and security considerations? (R5,C1) 
Would you like to Future expansion and flexibility or Operational impact assessment? (R5,C2) 
Would you like to Future expansion and flexibility or Cost of maintenance and repairs? (R5,C3) 
Would you like to Future expansion and flexibility or Partnership or joint facility opportunities? (R5,C4) 
Would you like to Future expansion and flexibility or Long-term mission requirements? (R5,C5) 
Would you like to Future expansion and flexibility or Economic analysis of potential savings? (R5,C6) 
Would you like to Environmental impact and sustainability or Safety and security considerations? (R6,C1) 
Would you like to Environmental impact and sustainability or Operational impact assessment? (R6,C2) 
Would you like to Environmental impact and sustainability or Cost of maintenance and repairs? (R6,C3) 
Would you like to Environmental impact and sustainability or Partnership or joint facility opportunities? (R6,C4) 
Would you like to Environmental impact and sustainability or Long-term mission requirements? (R6,C5) 
Would you like to Environmental impact and sustainability or Economic analysis of potential savings? (R6,C6) 
