Would you like to choose a game that fosters a positive and welcoming atmosphere but excludes certain individuals or makes them feel left out, creating a negative atmosphere? (R1C1)
Would you like to choose a game that fosters a positive and welcoming atmosphere but involves embarrassing dares or challenges, potentially causing discomfort or humiliation for participants? (R1C2)
Would you like to choose a game that fosters a positive and welcoming atmosphere but encourages dishonesty or deception, leading to mistrust and strained relationships among friends? (R1C3)
Would you like to choose a game that fosters a positive and welcoming atmosphere but involves physical contact without consent or crosses personal boundaries, making some participants uncomfortable? (R1C4)
Would you like to choose a game that fosters a positive and welcoming atmosphere but promotes competition and hostility, potentially leading to arguments or hurt feelings among friends? (R1C5)
Would you like to choose a game that fosters a positive and welcoming atmosphere but requires excessive drinking or risky behavior, posing potential dangers and negative consequences? (R1C6)
Would you like to opt for a game that promotes laughter and lightheartedness, creating a fun and enjoyable experience for all participants but excludes certain individuals or makes them feel left out, creating a negative atmosphere? (R2C1)
Would you like to opt for a game that promotes laughter and lightheartedness, creating a fun and enjoyable experience for all participants but involves embarrassing dares or challenges, potentially causing discomfort or humiliation for participants? (R2C2)
Would you like to opt for a game that promotes laughter and lightheartedness, creating a fun and enjoyable experience for all participants but encourages dishonesty or deception, leading to mistrust and strained relationships among friends? (R2C3)
Would you like to c opt for a game that promotes laughter and lightheartedness, creating a fun and enjoyable experience for all participants but involves physical contact without consent or crosses personal boundaries, making some participants uncomfortable? (R2C4)
Would you like to opt for a game that promotes laughter and lightheartedness, creating a fun and enjoyable experience for all participants but promotes competition and hostility, potentially leading to arguments or hurt feelings among friends? (R2C5)
Would you like to opt for a game that promotes laughter and lightheartedness, creating a fun and enjoyable experience for all participants but requires excessive drinking or risky behavior, posing potential dangers and negative consequences? (R2C6)
Would you like to select a game that encourages open and honest communication, fostering deeper connections and understanding among friends but excludes certain individuals or makes them feel left out, creating a negative atmosphere? (R3C1)
Would you like to select a game that encourages open and honest communication, fostering deeper connections and understanding among friends but involves embarrassing dares or challenges, potentially causing discomfort or humiliation for participants? (R3C2)
Would you like to select a game that encourages open and honest communication, fostering deeper connections and understanding among friends but encourages dishonesty or deception, leading to mistrust and strained relationships among friends? (R3C3)
Would you like to select a game that encourages open and honest communication, fostering deeper connections and understanding among friends but involves physical contact without consent or crosses personal boundaries, making some participants uncomfortable? (R3C4)
Would you like to select a game that encourages open and honest communication, fostering deeper connections and understanding among friends but promotes competition and hostility, potentially leading to arguments or hurt feelings among friends? (R3C5)
Would you like to select a game that encourages open and honest communication, fostering deeper connections and understanding among friends but requires excessive drinking or risky behavior, posing potential dangers and negative consequences? (R3C6)
Would you like to play a game that involves sharing interesting stories or personal experiences, creating a bonding and memorable experience but excludes certain individuals or makes them feel left out, creating a negative atmosphere? (R4C1)
Would you like to play a game that involves sharing interesting stories or personal experiences, creating a bonding and memorable experience but involves embarrassing dares or challenges, potentially causing discomfort or humiliation for participants? (R4C2)
Would you like to play a game that involves sharing interesting stories or personal experiences, creating a bonding and memorable experience but encourages dishonesty or deception, leading to mistrust and strained relationships among friends? (R4C3)
Would you like to play a game that involves sharing interesting stories or personal experiences, creating a bonding and memorable experience but involves physical contact without consent or crosses personal boundaries, making some participants uncomfortable? (R4C4)
Would you like to play a game that involves sharing interesting stories or personal experiences, creating a bonding and memorable experience but promotes competition and hostility, potentially leading to arguments or hurt feelings among friends? (R4C5)
Would you like to play a game that involves sharing interesting stories or personal experiences, creating a bonding and memorable experience but requires excessive drinking or risky behavior, posing potential dangers and negative consequences? (R4C6)
Would you like to engage in a game that promotes teamwork and collaboration, fostering a sense of unity and camaraderie among friends but excludes certain individuals or makes them feel left out, creating a negative atmosphere? (R5C1)
Would you like to engage in a game that promotes teamwork and collaboration, fostering a sense of unity and camaraderie among friends but involves embarrassing dares or challenges, potentially causing discomfort or humiliation for participants? (R5C2)
Would you like to engage in a game that promotes teamwork and collaboration, fostering a sense of unity and camaraderie among friends but encourages dishonesty or deception, leading to mistrust and strained relationships among friends? (R5C3)
Would you like to engage in a game that promotes teamwork and collaboration, fostering a sense of unity and camaraderie among friends but involves physical contact without consent or crosses personal boundaries, making some participants uncomfortable? (R5C4)
Would you like to engage in a game that promotes teamwork and collaboration, fostering a sense of unity and camaraderie among friends but promotes competition and hostility, potentially leading to arguments or hurt feelings among friends? (R5C5)
Would you like to engage in a game that promotes teamwork and collaboration, fostering a sense of unity and camaraderie among friends but requires excessive drinking or risky behavior, posing potential dangers and negative consequences? (R5C6)
Would you like to choose a game that encourages creativity and self-expression, allowing participants to highlight their unique personalities and talents but excludes certain individuals or makes them feel left out, creating a negative atmosphere? (R6C1)
Would you like to choose a game that encourages creativity and self-expression, allowing participants to highlight their unique personalities and talents but involves embarrassing dares or challenges, potentially causing discomfort or humiliation for participants? (R6C2)
Would you like to choose a game that encourages creativity and self-expression, allowing participants to highlight their unique personalities and talents but encourages dishonesty or deception, leading to mistrust and strained relationships among friends? (R6C3)
Would you like to choose a game that encourages creativity and self-expression, allowing participants to highlight their unique personalities and talents but involves physical contact without consent or crosses personal boundaries, making some participants uncomfortable? (R6C4)
Would you like to choose a game that encourages creativity and self-expression, allowing participants to highlight their unique personalities and talents but promotes competition and hostility, potentially leading to arguments or hurt feelings among friends? (R6C5)
Would you like to choose a game that encourages creativity and self-expression, allowing participants to highlight their unique personalities and talents but requires excessive drinking or risky behavior, posing potential dangers and negative consequences? (R6C6)
