Would you like to If you choose to launch a surprise attack, you can kill all the enemies or If you choose to wait for reinforcements, you can have larger stronger force? (R1,C1) 
Would you like to If you choose to launch a surprise attack, you can kill all the enemies or If you choose to wait for reinforcements, you can have improved strategic planning? (R1,C2) 
Would you like to If you choose to launch a surprise attack, you can kill all the enemies or If you choose to wait for reinforcements, you can have coordinated assault? (R1,C3) 
Would you like to If you choose to launch a surprise attack, you can kill all the enemies or If you choose to wait for reinforcements, you can reduce causality risk? (R1,C4) 
Would you like to If you choose to launch a surprise attack, you can kill all the enemies or If you choose to wait for reinforcements, you can have reassurance for troops? (R1,C5) 
Would you like to If you choose to launch a surprise attack, you can kill all the enemies or If you choose to wait for reinforcements, you can have possible enemy response? (R1,C6) 
Would you like to If you choose to launch a surprise attack, you can kill most of the enemies and capture rest of them or If you choose to wait for reinforcements, you can have larger stronger force? (R2,C1) 
Would you like to If you choose to launch a surprise attack, you can kill most of the enemies and capture rest of them or If you choose to wait for reinforcements, you can have improved strategic planning? (R2,C2) 
Would you like to If you choose to launch a surprise attack, you can kill most of the enemies and capture rest of them or If you choose to wait for reinforcements, you can have coordinated assault? (R2,C3) 
Would you like to If you choose to launch a surprise attack, you can kill most of the enemies and capture rest of them or If you choose to wait for reinforcements, you can reduce causality risk? (R2,C4) 
Would you like to If you choose to launch a surprise attack, you can kill most of the enemies and capture rest of them or If you choose to wait for reinforcements, you can have reassurance for troops? (R2,C5) 
Would you like to If you choose to launch a surprise attack, you can kill most of the enemies and capture rest of them or If you choose to wait for reinforcements, you can have possible enemy response? (R2,C6) 
Would you like to If you choose to launch a surprise attack, you can have all the enemies surrender or If you choose to wait for reinforcements, you can have larger stronger force? (R3,C1) 
Would you like to If you choose to launch a surprise attack, you can have all the enemies surrender or If you choose to wait for reinforcements, you can have improved strategic planning? (R3,C2) 
Would you like to If you choose to launch a surprise attack, you can have all the enemies surrender or If you choose to wait for reinforcements, you can have coordinated assault? (R3,C3) 
Would you like to If you choose to launch a surprise attack, you can have all the enemies surrender or If you choose to wait for reinforcements, you can reduce causality risk? (R3,C4) 
Would you like to If you choose to launch a surprise attack, you can have all the enemies surrender or If you choose to wait for reinforcements, you can have reassurance for troops? (R3,C5) 
Would you like to If you choose to launch a surprise attack, you can have all the enemies surrender or If you choose to wait for reinforcements, you can have possible enemy response? (R3,C6) 
Would you like to If you choose to launch a surprise attack, you can have all the enemies surrender and you get to keep all of their inventory or If you choose to wait for reinforcements, you can have larger stronger force? (R4,C1) 
Would you like to If you choose to launch a surprise attack, you can have all the enemies surrender and you get to keep all of their inventory or If you choose to wait for reinforcements, you can have improved strategic planning? (R4,C2) 
Would you like to If you choose to launch a surprise attack, you can have all the enemies surrender and you get to keep all of their inventory or If you choose to wait for reinforcements, you can have coordinated assault? (R4,C3) 
Would you like to If you choose to launch a surprise attack, you can have all the enemies surrender and you get to keep all of their inventory or If you choose to wait for reinforcements, you can reduce causality risk? (R4,C4) 
Would you like to If you choose to launch a surprise attack, you can have all the enemies surrender and you get to keep all of their inventory or If you choose to wait for reinforcements, you can have reassurance for troops? (R4,C5) 
Would you like to If you choose to launch a surprise attack, you can have all the enemies surrender and you get to keep all of their inventory or If you choose to wait for reinforcements, you can have possible enemy response? (R4,C6) 
Would you like to If you choose to launch a surprise attack, you can kill all the enemies and earn a badge of honor or If you choose to wait for reinforcements, you can have larger stronger force? (R5,C1) 
Would you like to If you choose to launch a surprise attack, you can kill all the enemies and earn a badge of honor or If you choose to wait for reinforcements, you can have improved strategic planning? (R5,C2) 
Would you like to If you choose to launch a surprise attack, you can kill all the enemies and earn a badge of honor or If you choose to wait for reinforcements, you can have coordinated assault? (R5,C3) 
Would you like to If you choose to launch a surprise attack, you can kill all the enemies and earn a badge of honor or If you choose to wait for reinforcements, you can reduce causality risk? (R5,C4) 
Would you like to If you choose to launch a surprise attack, you can kill all the enemies and earn a badge of honor or If you choose to wait for reinforcements, you can have reassurance for troops? (R5,C5) 
Would you like to If you choose to launch a surprise attack, you can kill all the enemies and earn a badge of honor or If you choose to wait for reinforcements, you can have possible enemy response? (R5,C6) 
Would you like to If you choose to wait for reinforcements, you ensure your soldier’s safety or If you choose to wait for reinforcements, you can have larger stronger force? (R6,C1) 
Would you like to If you choose to wait for reinforcements, you ensure your soldier’s safety or If you choose to wait for reinforcements, you can have improved strategic planning? (R6,C2) 
Would you like to If you choose to wait for reinforcements, you ensure your soldier’s safety or If you choose to wait for reinforcements, you can have coordinated assault? (R6,C3) 
Would you like to If you choose to wait for reinforcements, you ensure your soldier’s safety or If you choose to wait for reinforcements, you can reduce causality risk? (R6,C4) 
Would you like to If you choose to wait for reinforcements, you ensure your soldier’s safety or If you choose to wait for reinforcements, you can have reassurance for troops? (R6,C5) 
Would you like to If you choose to wait for reinforcements, you ensure your soldier’s safety or If you choose to wait for reinforcements, you can have possible enemy response? (R6,C6) 
