Would you like to listen to the energetic rock anthem and a beautiful ballad or dull dirge and tone-deaf tune? (R1, C1, R2, C2)
Would you like to listen to the energetic rock anthem and a beautiful ballad or sleep-inducing serenade and ear-splitting noise? (R1, C3, R2, C4)
Would you like to listen to the energetic rock anthem and a beautiful ballad or melancholy melody and monotonous drone? (R1, C5, R2, C6)
Would you like to listen to the energetic rock anthem and a beautiful ballad or lackluster performance and off-key disaster? (R1, C7, R2, R2, C8)
Would you like to listen to the energetic rock anthem and a beautiful ballad or a boring ballad with and repetitive rhythm? (R1, C9, R2, C10)
Would you like to listen to an energetic rock anthem and a beautiful ballad or an uninspiring anthem and a lame dance track? (R1, C11, R2, C12)
Would you like to listen to the infectious dance floor hit and captivating performance or a dull dirge and tone-deaf tune? (R3, C1, R4, C2)
Would you like to listen to the infectious dance floor hit and captivating performance or sleep-inducing serenade and ear-splitting noise? (R3, C3, R4, C4)
Would you like to listen to the infectious dance floor hit and captivating performance or melancholy melody and monotonous drone? (R3, C5, R4, C6)
Would you like to listen to the infectious dance floor hit and captivating performance or lackluster performances and off-key disaster? (R3, C7, R4, C8)
Would you like to listen to the infectious dance floor hit and captivating performance or a boring ballad and repetitive rhythm? (R3, C9, R4, C10)
Would you like to listen to the infectious dance floor hit and captivating performance or the uninspiring anthem and lame dance track? (R3, C11, R4, C12)
Would you like to listen to the soul- a stirring melody and electrifying tune or a dull dirge and tone-deaf tune? (R5, C1, R6, C2)
Would you like to listen to the soul- a stirring melody and electrifying tune or sleep-inducing serenade and ear-splitting noise? (R5, C3, R6, C4)
Would you like to listen to the soul- a stirring melody and electrifying tune or a melancholy melody and monotonous drone? (R5, C5, R6, C6)
Would you like to listen to the soul- a stirring melody and electrifying tune or lackluster performance and off-key disaster? (R5, C7, R6, C8)
Would you like to listen to the soul- a stirring melody and electrifying tune or a boring ballad and repetitive rhythm? (R5, C9, R6, C10)
Would you like to listen to the soul- a stirring melody and electrifying tune or an uninspiring anthem and lame dance track? (R5, C11, R6, C12)
Would you like to listen to a harmonious masterpiece and enchanting serenade or a dull dirge and tone-deaf tune? (R7, C1, R8, C2)
Would you like to listen to a harmonious masterpiece and enchanting serenade or sleep-inducing serenade and ear-splitting noise? (R7, C3, R8, C4)
Would you like to listen to a harmonious masterpiece and enchanting serenade or a melancholy melody and monotonous drone? (R7, C5, R8, C6)
Would you like to listen to a harmonious masterpiece and enchanting serenade or a lackluster performance and off-key disaster? (R7, C7, R8, C8)
Would you like to listen to a harmonious masterpiece and enchanting serenade or a boring ballad and repetitive rhythm? (R7, C9, R8, C10)
Would you like to listen to a harmonious masterpiece and enchanting serenade or an unaspiring anthem and lame dance track? (R7, C11, R8, C12)
Would you like to listen to an uplifting rhythm and crowd-pleasing favorite or a dull dirge and tone-deaf tune? (R9, C1, R10, C2)
Would you like to listen to an uplifting rhythm and crowd-pleasing favorite or sleep-inducing serenade and ear-splitting noise? (R9, C3, R10, C4)
Would you like to listen to an uplifting rhythm and crowd-pleasing favorite or a melancholy melody and monotonous drone? (R9, C5, R10, C6)
Would you like to listen to an uplifting rhythm and crowd-pleasing favorite or lackluster performance and off-key disaster? (R9, C7, R10, C8)
Would you like to listen to an uplifting rhythm and crowd-pleasing favorite or boring ballad and repetitive rhythm? (R9, C9, R10, C10)
Would you like to listen to an uplifting rhythm and crowd-pleasing favorite or an uninspiring anthem and lame dance track? (R9, C11, R10, C12)
Would you like to listen to the exciting anthem and groovy dance track or a dull dirge and tone-deaf tune? (R11, C1, R12, C2)
Would you like to listen to the exciting anthem and groovy dance track or sleep-inducing serenade and ear-splitting noise? (R11, C3, R12, C4)
Would you like to listen to the exciting anthem and groovy dance track or melancholy melody and monotonous drone? (R11, C5, R12, C6)
Would you like to listen to the exciting anthem and groovy dance track or the lackluster performance and off-key disaster? (R11, C7, R12, C8)
Would you like to listen to the exciting anthem and groovy dance track or a boring ballad and repetitive rhythm? (R11, C9, R12, C10)
Would you like to listen to the exciting anthem and groovy dance track or the uninspiring anthem and lame dance track?( R11, C11, R12, C12)
